California Irrigation Management Information System (CIMIS),,,,,,,,,,,,,,,,,,,,,
CIMIS Hourly Report,,,,,,,,,,,,,,,,,,,,,
Rendered in ENGLISH Units.,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 1, 2026 - Thursday, January 8, 2026",,,,,,,,,,,,,,,,,,,,,
"Printed on Thursday, January 8, 2026",,,,,,,,,,,,,,,,,,,,,
Davis - Sacramento Valley - Station 6,,,,,,,,,,,,,,,,,,,,,
Date,Hour,ETo,,Precip,,Sol Rad,,Vap Pres,,Air Temp,,Rel Hum,,Dew Point,,Wind Speed,,Wind Dir,,Soil Temp,
,(PST),(in),,(in),,(Ly/day),,(mBars),,(°F),,(%),,(°F),,(mph),,(0-360),,(°F),
1/1/26,100,0,,0.05,,0,,10.7,,46.6,,99,,46.3,,5.4,,356,,51.4,
,200,0,,0.06,,0,,10.7,,46.5,,99,,46.2,,4.6,,360,,51.4,
,300,0,,0.07,,0,,10.7,,46.6,,99,,46.3,,4.4,,2,,51.4,
,400,0,,0.08,,0,,10.7,,46.5,,99,,46.4,,3.7,,335,,51.4,
,500,0,,0.03,,0,,10.7,,46.6,,99,,46.4,,4.6,,321,,51.3,
,600,0,,0.04,,0,,10.8,,46.7,,99,,46.6,,4.8,,319,,51.3,
,700,0,,0.04,,0,,10.9,,47,,100,,46.8,,4.3,,334,,51.3,
,800,0,,0.06,,4,,11,,47.1,,100,,47,,4.4,,336,,51.3,
,900,0,,0.02,,29,,11.1,,47.4,,100,,47.3,,4.1,,343,,51.3,
,1000,0,,0.04,,62,,11.3,,47.8,,99,,47.7,,4,,351,,51.3,
,1100,0,,0.02,,89,,11.5,,48.3,,99,,48.2,,3.8,,332,,51.3,
,1200,0,,0.04,,153,,11.8,,49,,99,,48.9,,3.6,,252,,51.4,
,1300,0,,0.01,,275,,12.3,,50.1,,99,,49.9,,2.6,,208,,51.5,
,1400,0,,0,,368,,13.2,,52.3,,99,,52,,5.2,,157,,51.6,
,1500,0,,0,,484,,14.4,,55.2,,97,,54.4,,6.6,,177,,51.8,
,1600,0,,0,,312,,14.8,,57.6,,91,,55.1,,4.3,,178,,52.1,
,1700,0,,0,,33,,14.3,,56.4,,92,,54.1,,1.8,,197,,52.4,
,1800,0,,0,,0,,13.8,,54.2,,96,,53.2,,1.5,,115,,52.6,
,1900,0,,0,,0,,14.7,,55.6,,97,,54.8,,3.6,,125,,52.6,
,2000,0,,0,,0,,14.5,,56.1,,94,,54.5,,5,,114,,52.6,
,2100,0,,0,,0,,14.3,,55.5,,95,,54.1,,2.5,,153,,52.6,
,2200,0,,0.01,,0,,14.2,,54.6,,97,,53.9,,2.5,,144,,52.6,
,2300,0,,0.01,,0,,14.3,,54.6,,98,,54.2,,3,,155,,52.7,
,2400,0,,0.01,,0,,14.4,,54.7,,99,,54.4,,4.6,,163,,52.7,
1/2/26,100,0,,0,,0,,14.4,,54.7,,98,,54.3,,3.7,,157,,52.8,
,200,0,,0,,0,,14.2,,54.3,,98,,53.9,,1.8,,140,,52.8,
,300,0,,0,,0,,14.2,,54.3,,98,,53.9,,3,,115,,52.9,
,400,0,,0,,0,,14,,54,,98,,53.6,,2.2,,148,,52.9,
,500,0,,0,,0,,13.9,,53.8,,99,,53.4,,2.3,,129,,52.9,
,600,0,,0,,0,,13.9,,53.7,,98,,53.3,,2.1,,140,,52.9,
,700,0,,0,,0,,13.3,,52.7,,98,,52.2,,1.7,,151,,52.9,
,800,0,,0,,22,,13,,52,,99,,51.6,,2.6,,125,,52.9,
,900,0,,0,,179,,12.9,,52,,98,,51.4,,2.9,,157,,52.9,
,1000,0,,0,,508,,13.4,,54.1,,94,,52.4,,4.4,,136,,52.8,
,1100,0.01,,0,,717,,13.3,,56.4,,86,,52.2,,6.2,,148,,52.9,
,1200,0.01,,0,,611,,13.5,,57.8,,82,,52.5,,7.1,,159,,53.1,
,1300,0,,0,,493,,13.7,,58.2,,82,,52.9,,6.6,,144,,53.4,
,1400,0,,0,,429,,13.2,,59.1,,77,,52,,6.5,,124,,53.7,
,1500,0,,0,,202,,12.8,,59.1,,75,,51.1,,7.9,,121,,53.8,
,1600,0,,0,,129,,12.8,,58.9,,75,,51.1,,7.2,,124,,53.9,
,1700,0,,0,,39,,12.7,,58.9,,75,,50.9,,5.7,,133,,54,
,1800,0,,0,,0,,13,,57.9,,79,,51.6,,4.7,,142,,54,
,1900,0,,0.09,,0,,13.4,,56.6,,85,,52.3,,5.4,,143,,54,
,2000,0,,0.02,,0,,13.6,,55.1,,92,,52.7,,6.1,,151,,54,
,2100,0,,0.02,,0,,13.7,,54.5,,94,,52.9,,4.2,,143,,54,
,2200,0,,0.03,,0,,13.5,,55.1,,92,,52.6,,8.1,,151,,54,
,2300,0,,0.07,,0,,13.6,,55.7,,90,,52.8,,12.3,,169,,54,
,2400,0,,0.05,,0,,13.8,,54.8,,94,,53.1,,10,,160,,54,
1/3/26,100,0,,0,,0,,13.6,,54.5,,94,,52.7,,7.2,,148,,54,
,200,0,,0,,0,,13.7,,55.3,,92,,53,,8.4,,151,,54,
,300,0,,0,,0,,13.5,,55.5,,90,,52.5,,7.2,,146,,54,
,400,0,,0,,0,,13.4,,54.5,,92,,52.3,,7.7,,129,,53.9,
,500,0,,0,,0,,13.6,,54.1,,95,,52.7,,7.5,,133,,53.9,
,600,0,,0,,0,,13.5,,53.8,,96,,52.6,,6.3,,142,,53.9,
,700,0,,0,,0,,13.5,,53.5,,96,,52.5,,8,,149,,53.9,
,800,0,,0,,10,,13.6,,53.9,,96,,52.7,,8.5,,149,,53.8,
,900,0,,0.05,,95,,13.9,,54.7,,95,,53.4,,8.1,,151,,53.8,
,1000,0,,0.02,,185,,14.3,,55.1,,97,,54.2,,10.1,,155,,53.8,
,1100,0,,0.28,,278,,14,,55,,95,,53.5,,11.3,,169,,53.9,
,1200,0,,0.14,,149,,13.2,,53.4,,95,,51.9,,7.8,,205,,54,Y
,1300,0.01,,0,,959,,15.4,,58.1,,93,,56.1,,8.8,,192,,54,
,1400,0.01,,0,,859,,14.7,,62.3,,77,,55,,12.8,,199,,54.3,Y
,1500,0.01,,0,,644,,12.7,,62.5,,66,,50.9,,15.8,,200,,54.9,Y
